Cidade,Probabilidade_Estacionaria
"Paulista, PE, BRAZIL",0.003249969185282939
"Rio Verde, GO, BRAZIL",0.0032402870651782136
"Franco da Rocha, SP, BRAZIL",0.003237580770752443
"Itapevi, SP, BRAZIL",0.003232397718100713
"Ferraz de Vasconcelos, SP, BRAZIL",0.0032289971542753797
"Passos, MG, BRAZIL",0.0032284924475558152
"Jaboatão dos Guararapes, PE, BRAZIL",0.0032281021473548267
"São Lourenço da Mata, PE, BRAZIL",0.0032257886175248458
"Belo Horizonte, MG, BRAZIL",0.003224584792421607
"São Mateus, ES, BRAZIL",0.00322095560512544
"Nova Serrana, MG, BRAZIL",0.0032201589961442802
"Campos dos Goytacazes, RJ, BRAZIL",0.003219137878336356
"Ponta Grossa, PR, BRAZIL",0.0032188686201747797
"Araruama, RJ, BRAZIL",0.0032183947406742484
"Betim, MG, BRAZIL",0.003218245682803611
"Itajaí, SC, BRAZIL",0.0032172157582387277
"Palhoça, SC, BRAZIL",0.0032170293198366
"Alvorada, RS, BRAZIL",0.0032168264068537723
"Teixeira de Freitas, BA, BRAZIL",0.003216349413643898
"Paço do Lumiar, MA, BRAZIL",0.003216233825333433
"Foz do Iguaçu, PR, BRAZIL",0.003215990761301697
"Jaú, SP, BRAZIL",0.0032156919902258554
"Nova Lima, MG, BRAZIL",0.003215544741692056
"Cabo de Santo Agostinho, PE, BRAZIL",0.003215142445492255
"Barueri, SP, BRAZIL",0.0032146240057715986
"Cachoeirinha, RS, BRAZIL",0.0032144698564119407
"Nossa Senhora do Socorro, SE, BRAZIL",0.0032143161735876937
"São José de Ribamar, MA, BRAZIL",0.0032143088422468577
"Caruaru, PE, BRAZIL",0.0032140602792119803
"Altamira, PA, BRAZIL",0.0032138544538560807
"Ribeirão das Neves, MG, BRAZIL",0.003212617865203018
"Paulo Afonso, BA, BRAZIL",0.0032126068002873566
"Itu, SP, BRAZIL",0.0032121838163830536
"Assis, SP, BRAZIL",0.0032113835986464535
"São Bernardo do Campo, SP, BRAZIL",0.0032111382430367306
"Franca, SP, BRAZIL",0.003211116649593758
"Formosa, GO, BRAZIL",0.003211109819541189
"São José, SC, BRAZIL",0.0032104239242637523
"Olinda, PE, BRAZIL",0.003209786690397895
"Itaboraí, RJ, BRAZIL",0.0032092897661348593
"Fortaleza, CE, BRAZIL",0.0032085791783506307
"Porto Alegre, RS, BRAZIL",0.0032082087912407424
"Juiz de Fora, MG, BRAZIL",0.0032079276129026047
"Cabo Frio, RJ, BRAZIL",0.0032079068186732437
"Montes Claros, MG, BRAZIL",0.003207837960253649
"São Caetano do Sul, SP, BRAZIL",0.0032076912212105437
"Rio das Ostras, RJ, BRAZIL",0.0032069673913016974
"Itaguaí, RJ, BRAZIL",0.0032067177260497403
"Boa Vista, RR, BRAZIL",0.0032063219185155456
"Mogi das Cruzes, SP, BRAZIL",0.00320581137573278
"Fazenda Rio Grande, PR, BRAZIL",0.0032043553845522055
"Viamão, RS, BRAZIL",0.003204046453261482
"São Luís, MA, BRAZIL",0.003203474940275401
"Macaé, RJ, BRAZIL",0.003203372876227253
"Juazeiro do Norte, CE, BRAZIL",0.003201528195527274
"Itapecerica da Serra, SP, BRAZIL",0.003201196096697943
