cluster_id,cluster_name,municipio,num_crimes
0,Cluster 1,"Cuiabá, MT, BRAZIL",55
0,Cluster 1,"Linhares, ES, BRAZIL",45
0,Cluster 1,"Foz do Iguaçu, PR, BRAZIL",64
0,Cluster 1,"Várzea Grande, MT, BRAZIL",43
0,Cluster 1,"Tubarão, SC, BRAZIL",35
0,Cluster 1,"Parauapebas, PA, BRAZIL",50
0,Cluster 1,"Igarassu, PE, BRAZIL",29
0,Cluster 1,"Guarapari, ES, BRAZIL",39
0,Cluster 1,"Guaratinguetá, SP, BRAZIL",32
0,Cluster 1,"São José de Ribamar, MA, BRAZIL",45
0,Cluster 1,"Cabo de Santo Agostinho, PE, BRAZIL",45
0,Cluster 1,"Teresina, PI, BRAZIL",100
0,Cluster 1,"Arapongas, PR, BRAZIL",40
0,Cluster 1,"Cambé, PR, BRAZIL",20
0,Cluster 1,"São Lourenço da Mata, PE, BRAZIL",42
0,Cluster 1,"Balsas, MA, BRAZIL",38
0,Cluster 1,"Paragominas, PA, BRAZIL",27
0,Cluster 1,"Queimados, RJ, BRAZIL",50
0,Cluster 1,"Sarandi, PR, BRAZIL",47
0,Cluster 1,"Santana, AP, BRAZIL",52
0,Cluster 1,"Araxá, MG, BRAZIL",44
0,Cluster 1,"Parnaíba, PI, BRAZIL",56
0,Cluster 1,"Mossoró, RN, BRAZIL",48
0,Cluster 1,"Colombo, PR, BRAZIL",34
0,Cluster 1,"Fazenda Rio Grande, PR, BRAZIL",58
0,Cluster 1,"Itapipoca, CE, BRAZIL",40
0,Cluster 1,"Olinda, PE, BRAZIL",49
0,Cluster 1,"Breves, PA, BRAZIL",12
0,Cluster 1,"Camaragibe, PE, BRAZIL",44
0,Cluster 1,"Canoas, RS, BRAZIL",48
0,Cluster 1,"São Luís, MA, BRAZIL",100
0,Cluster 1,"Teresópolis, RJ, BRAZIL",50
0,Cluster 1,"Toledo, PR, BRAZIL",50
0,Cluster 1,"Duque de Caxias, RJ, BRAZIL",52
0,Cluster 1,"Camboriú, SC, BRAZIL",50
0,Cluster 1,"Barcarena, PA, BRAZIL",49
0,Cluster 1,"Marituba, PA, BRAZIL",50
0,Cluster 1,"Campos dos Goytacazes, RJ, BRAZIL",43
0,Cluster 1,"Manacapuru, AM, BRAZIL",44
0,Cluster 1,"Ponta Grossa, PR, BRAZIL",65
0,Cluster 1,"Alvorada, RS, BRAZIL",39
0,Cluster 1,"Dourados, MS, BRAZIL",47
0,Cluster 1,"Araguaína, TO, BRAZIL",52
0,Cluster 1,"Paranaguá, PR, BRAZIL",50
0,Cluster 1,"Colatina, ES, BRAZIL",49
0,Cluster 1,"Fortaleza, CE, BRAZIL",100
0,Cluster 1,"Itaquaquecetuba, SP, BRAZIL",43
0,Cluster 1,"Três Lagoas, MS, BRAZIL",47
0,Cluster 1,"Imperatriz, MA, BRAZIL",50
0,Cluster 1,"Palmas, TO, BRAZIL",54
0,Cluster 1,"Macaé, RJ, BRAZIL",46
0,Cluster 1,"Ipatinga, MG, BRAZIL",48
0,Cluster 1,"Varginha, MG, BRAZIL",45
0,Cluster 1,"Osasco, SP, BRAZIL",51
0,Cluster 1,"Altamira, PA, BRAZIL",37
0,Cluster 1,"Campo Grande, MS, BRAZIL",100
0,Cluster 1,"Açailândia, MA, BRAZIL",20
0,Cluster 1,"Umuarama, PR, BRAZIL",48
0,Cluster 1,"Ferraz de Vasconcelos, SP, BRAZIL",49
0,Cluster 1,"Bento Gonçalves, RS, BRAZIL",49
0,Cluster 1,"Macapá, AP, BRAZIL",39
0,Cluster 1,"Nossa Senhora do Socorro, SE, BRAZIL",36
0,Cluster 1,"Balneário Camboriú, SC, BRAZIL",49
0,Cluster 1,"Pelotas, RS, BRAZIL",38
0,Cluster 1,"Ibirité, MG, BRAZIL",39
0,Cluster 1,"Juazeiro do Norte, CE, BRAZIL",48
0,Cluster 1,"Itaperuna, RJ, BRAZIL",21
0,Cluster 1,"Novo Hamburgo, RS, BRAZIL",35
0,Cluster 1,"Vila Velha, ES, BRAZIL",100
0,Cluster 1,"Ourinhos, SP, BRAZIL",26
0,Cluster 1,"Crato, CE, BRAZIL",42
0,Cluster 1,"Apucarana, PR, BRAZIL",44
0,Cluster 1,"Vitória de Santo Antão, PE, BRAZIL",38
0,Cluster 1,"Poá, SP, BRAZIL",48
0,Cluster 1,"Timon, MA, BRAZIL",72
0,Cluster 1,"Rio Grande, RS, BRAZIL",100
0,Cluster 1,"Londrina, PR, BRAZIL",50
0,Cluster 1,"Aracaju, SE, BRAZIL",49
0,Cluster 1,"São Leopoldo, RS, BRAZIL",44
0,Cluster 1,"Sorriso, MT, BRAZIL",45
0,Cluster 1,"Santa Maria, RS, BRAZIL",67
0,Cluster 1,"Assis, SP, BRAZIL",37
0,Cluster 1,"Itabaiana, SE, BRAZIL",34
0,Cluster 1,"Valparaíso de Goiás, GO, BRAZIL",29
0,Cluster 1,"Caucaia, CE, BRAZIL",46
0,Cluster 1,"Guarapuava, PR, BRAZIL",33
0,Cluster 1,"Recife, PE, BRAZIL",100
0,Cluster 1,"Garanhuns, PE, BRAZIL",44
0,Cluster 1,"Itaituba, PA, BRAZIL",39
0,Cluster 1,"Itajaí, SC, BRAZIL",52
0,Cluster 1,"Teófilo Otoni, MG, BRAZIL",25
0,Cluster 1,"Viamão, RS, BRAZIL",40
0,Cluster 1,"Lagarto, SE, BRAZIL",27
0,Cluster 1,"Santa Cruz do Sul, RS, BRAZIL",56
0,Cluster 1,"Tangará da Serra, MT, BRAZIL",30
0,Cluster 1,"Catalão, GO, BRAZIL",19
0,Cluster 1,"Teixeira de Freitas, BA, BRAZIL",47
0,Cluster 1,"Rio das Ostras, RJ, BRAZIL",47
0,Cluster 1,"Joinville, SC, BRAZIL",53
0,Cluster 1,"Nova Friburgo, RJ, BRAZIL",50
0,Cluster 1,"Cametá, PA, BRAZIL",13
0,Cluster 1,"Cachoeiro de Itapemirim, ES, BRAZIL",35
0,Cluster 1,"Araucária, PR, BRAZIL",48
0,Cluster 1,"Maranguape, CE, BRAZIL",46
0,Cluster 1,"Palhoça, SC, BRAZIL",47
0,Cluster 1,"São José, SC, BRAZIL",63
0,Cluster 1,"Governador Valadares, MG, BRAZIL",31
0,Cluster 1,"Natal, RN, BRAZIL",92
0,Cluster 1,"Caxias, MA, BRAZIL",71
0,Cluster 1,"Cascavel, PR, BRAZIL",49
0,Cluster 1,"Itabira, MG, BRAZIL",46
0,Cluster 1,"Parnamirim, RN, BRAZIL",46
0,Cluster 1,"Passo Fundo, RS, BRAZIL",58
0,Cluster 1,"Maceió, AL, BRAZIL",75
0,Cluster 1,"Caruaru, PE, BRAZIL",58
0,Cluster 1,"Piraquara, PR, BRAZIL",40
0,Cluster 1,"Belford Roxo, RJ, BRAZIL",36
0,Cluster 1,"Florianópolis, SC, BRAZIL",78
0,Cluster 1,"Cariacica, ES, BRAZIL",39
0,Cluster 1,"Pinhais, PR, BRAZIL",49
0,Cluster 1,"Petrolina, PE, BRAZIL",62
0,Cluster 1,"Maracanaú, CE, BRAZIL",50
0,Cluster 1,"Patos, PB, BRAZIL",35
0,Cluster 1,"Barretos, SP, BRAZIL",39
0,Cluster 1,"São Gonçalo do Amarante, RN, BRAZIL",22
0,Cluster 1,"Belém, PA, BRAZIL",100
0,Cluster 1,"Sapucaia do Sul, RS, BRAZIL",32
0,Cluster 1,"Cabo Frio, RJ, BRAZIL",50
0,Cluster 1,"Sinop, MT, BRAZIL",46
0,Cluster 1,"Birigui, SP, BRAZIL",43
0,Cluster 1,"Marabá, PA, BRAZIL",44
0,Cluster 1,"Gravataí, RS, BRAZIL",44
0,Cluster 1,"João Pessoa, PB, BRAZIL",100
0,Cluster 1,"Coronel Fabriciano, MG, BRAZIL",49
0,Cluster 1,"Angra dos Reis, RJ, BRAZIL",49
0,Cluster 1,"Suzano, SP, BRAZIL",50
0,Cluster 1,"Caxias do Sul, RS, BRAZIL",100
0,Cluster 1,"Jaboatão dos Guararapes, PE, BRAZIL",45
0,Cluster 1,"Vitória, ES, BRAZIL",79
0,Cluster 1,"Brusque, SC, BRAZIL",33
0,Cluster 1,"Barra Mansa, RJ, BRAZIL",49
0,Cluster 1,"Criciúma, SC, BRAZIL",37
0,Cluster 1,"Ananindeua, PA, BRAZIL",46
0,Cluster 1,"Almirante Tamandaré, PR, BRAZIL",35
0,Cluster 1,"Ji-Paraná, RO, BRAZIL",33
0,Cluster 1,"Paulista, PE, BRAZIL",61
0,Cluster 1,"Castanhal, PA, BRAZIL",46
